UserID,ProductID,Date,Review,Rating,Label,Product
41958,596,3/29/2013,"wow ! excellent pastrami and brisket in bed-stuy ! not only is the food excellent , the prices make going to other parts of the N boroughs unnecessary to get your brisket on ! someone , somewhere posted about the neighborhood being "" scary "" -- be scared and stay away , more pastrami , brisket , etc . . for those of us in the know ! ! ! ",5,1,david s brisket house
171474,2765,6/13/2013,"treats people like they are trash ! ! ! owners are disgusting ! ! ! i went to rho because one of my colleagues was retiring . i did not know anything about the place other then what i saw on-line ( their menu ) . when i arrived , a nice young man with a blue shirt was standing there collecting parking money for the baseball team ( the thunder , i think ) . he asked if i was there for the baseball game or the restaurant . of course , i said restaurant . then , two men start yelling at me and the kid about where to park . the kid had just told me to park in a specific lot , and then the two owners managers continued to berate the kid . they were cursing at him , threatened to break the windows of his car , and treated him like he was a piece of garbage . i could not believe what i was hearing . the kid stood there and took it ! the only time he spoke to them was to ask . . . yes , ask , them to move away from him . they continued to yell at the kid . i could not believe it and i felt so bad for this guy , who was obviously doing what he was told to do . i will be contacting the thunder today to make sure that kid is ok , but my first impression of this restaurant was N angry men yelling at a kid . he did nothing wrong and those men should be ashamed of themselves . heck , they should be arrested ! i will never return . if that ' s the way these people treat others- not their own staff- i ' d hate to see how they treat their own . disgraceful and disgusting . i will put this on every review blog there is ! i hope that kid is ok . ",1,-1,rho ristorante discoteca
174103,4178,10/1/2014,the food is as good as the service . their are a lot of other diners on the highway but none have that home town feel and comfort like this place . ,5,-1,the falls kitchen
39258,1183,12/18/2014,"i came here for a dinner of N and the food was great ! i got the homemade beef lasagna and it was good meanwhile N of my other friends for the penne with mushroom . they were all delicious . we had the mushroom pizza ? for appetizer and some salad . the bread they gave us was pretty salty . . i did read it in other reviews that some of the food was salty but i didn ' t taste too much salt on my entrees , if anything the bread was just blehh . . i do recommend this place for sure ! i had white pinot grigo wine and it was perfect with my entree ! ",4,1,malaparte
115667,4390,8/16/2010,"friendly staff and cool looking decor but brunch is bad . at least they give you three free drinks for brunch though so if you ' re more into drinking than eating , this is the place for you . ",2,-1,bogota latin bistro
25790,3611,5/18/2014,i ' ve bee here several times for parties in the back room . the food is blah at best . maybe their party plates are lackluster compared to the private dining menu ? the only thing that is worth bragging about is the cheesecake . the cheesecake is delicious . i ' m pretty sure it is not done in house . the sangria is blah . the chorizo is good . the shrimp in garlic sauce is ok . stuffed clams is pretty good ( yay for bacon ) . the paella lacked saffron . don ' t waste your money here . ,2,1,don pepe ii
205956,1146,1/18/2014,recently ordered the filet of fish platter which comes with N decent sized filet and fries for N . N . i must say i ' ve had more and better for less from d ' amatos which is no more than N min away from this establishment in the next town . my rating is based on quality and quantity for price . either lower your prices or put more in ! ! ! ,2,-1,sandbar seafood
7105,1291,5/20/2013,"cosmi ' s has the best cheesesteaks in the city , and believe me i ' ve done my research over the years ! the meat is tender and not overly greasy . the rolls are fresh and light . the people are nice and don ' t mind explaining the differences in the options . i live in northern liberties and always trek down to cosmi ' s when i have a cheesesteak craving . ",5,1,cosmi s deli
100375,1675,1/28/2014,"siggy ' s delicious foods ! we can ' t say enough good things about our experience . the food was delicious , portions generous , and the price was outstanding . actually , we recommend this siggy ' s good food to our friends and family . ",5,-1,siggy s good food
75836,2736,5/18/2012,"if you ' re into chicken , this is the place to go to . i went with my wife to this place from a friend ' s recommendation . i usually don ' t go out of my way to eat chicken in a restaurant since my wife is actually a mean chicken cook ! anyway , i went with the chicken burger and was really pleased . i had it with mac and cheese and it was such a great comfort meal . it was raining outside the night we went which made the food taste even better . my wife had some chicken thigh dish that was even better than mine . i made her share it with me . i was really surprised with how moist they got the chicken to taste . of course , i had to tell my lady that her chicken was still better although i was really lying . ",4,-1,purbird
